Sentence,Labels Set,subategory,
વિજયભાઈ તમે ગુજરાતને રાંડેલી બાઈ જેવુ કરી નાખ્યુ છે.,Hate,Abusive,
સંવેદનશીલ મુખ્યમંત્રી ને અભિનંદન,Non-Hate,Positive,
આખરે કંટાળી ગયેલી પુષ્પાએ ઘરમાં ઝેરી દવા ગટગટાવી લીધી હતી,Non-Hate,Neutral,
"છેલ્લા ઘણા સમયથી પૈસા બાકી હોવાથી હવે ઉધારમાં ચા આપવાનું બંધ કર્યું છે",Non-Hate,Neutral,
શાહે ભરોસો આપ્યો કે ભાજપની સરકાર આવશે તો ગુંડાઓ અને ભ્રષ્ટાચારીઓ નહીં બચે,Non-Hate,Neutral,
આનંદનગર વેજલપુર થલતેજ વસ્ત્રાપુર બોડકદેવ શિવરંજની જોધપુર જીવરાજ પાર્ક બાપુનગર સરસપુર કાલુપુર વહેલી વરસાદ વરસી રહ્યો છે,Non-Hate,Neutral,
"આને કોઈ ફેકો પાકિસ્તાન બાજુ આની સકલ જોવાનુ પણ પસંદ નથી, ગંદો બયરો છે, આવા લોકો ધરતી નો બોઝ છે",Hate,Accusations,
"પેલા તૉ તુ માં લાયક નૉ કેવાય તારે પેટે દિકરી નૉ જન્મ આપ પછી ધરમ નૉ વકીલ બન જે",Hate,Accusations,
તમે આમ આદમી પાર્ટીમાં જોડાઈ જાઓ એક દિવસ જરૂર બનશો CM,Non-Hate,Neutral,
ભાઈ ! તમે ઘણીનાં સીલ તોડ્યાં લાગે છે !,Hate,Abusive,
"તુ તારુ કરને ગામની છોકરીયુ ને બગાડ છો તે તુ કાય મોટિવેશનલ સ્પીકર છો
",Hate,Abusive,
રાંડ તારી સામે યુદ્ધ કરવા,Hate,Sexist,
ઓહો તો આ છે રાન્દુ પ્રોડકસન કરવાની ફેક્ટરી ,Hate,Abusive,
તમારા વીડીઓ સામભણી ને સારુ લાગ્યુ માઇડ ફેસ થયગયો,Non-Hate,Neutral,
"ચોદું બનાવે રૂપિયા આપવા નતા આને
",Hate,Abusive,
લેસ્બીન છો એટલે લગન નથી કરવા હવે ખબર પડી મને ,Hate,Sexist,
"તઈ શું ને હાલી નીકડા છે સફરજન તેમાં 😂😂😂😂😂😂😂😂😂 
જોરદાર roast ho !!!!👍🏻👍🏻👍🏻👍🏻
ભૂકા કાઢી નાખ્યાં ઓલા સફરજન ના 😂😂",Non-Hate,Neutral,
"બાપુ મને એમ કે હમણાં બઘડાટિ બોલસે મેં તો volume ધીમું કરી નાખીયું તું


",Non-Hate,Neutral,
માથા મારે લાગે હો મારા રોયા પાકિસ્તાન વાળા.....ધોકા લય આયાસે તોય... ભારત માટે એક લાઈક..કરજો બાપલીયા,Non-Hate,Positive,
માસી ને આજે સારુ છે ને એટલે ભજન પભ સાભરવા મલુ થેકયૂ માસી,Non-Hate,Neutral,
ભાવના  માસી  એ  જીંદગી  ઊપર  થી  સરસ ભજન સાંભળવુંછે લીંબડી થી વિજય ભાઈ એમ રાવલ,Non-Hate,Neutral,
જ્યારે હોય ત્યારે આ બેન નો જગડો હોય સે તમારી આવી મજાક ને આવા જગડા ના કારણે ગુજરાત ની માં ફાટેસે જય માતાજી,Non-Hate,Neutral,
સમાજ ઉપર ના જતા પ્રેમ થી કહી એ છીએ જે કાસ્ટ હોય એને એના નામ થી કેજો  કાસ્ટ થી નહિ કો બાકી બીજા દરબાર ની કોઈ ભૂલ નહિ ઓકે તો રાજપૂત સમાજની ઈજ્જત ની માં નહિ ફાડો,Hate,Promoting violence,
ચોદીની પ્રજા છે બધીયે😂😂😂,Hate,Abusive,
આ વાત સાચી ઈસુદાન ની જેમ ગોળ ગોળ ફેરવવા કરતા સાફ કહી દીધું,Non-Hate,Neutral,
"કીર્તિ ૫૦૦ માં ચોદવા ડેય છે",Hate,Abusive,
પિંકીના G j 14 છે તેરી બેન નો પીકો ફાટી જશે,Hate,Abusive,
"તારા થી કાય નો થાય કીર્તિ ભોંસડીની",Hate,Abusive,
"દીદી  તમારી  વાત  તો સાચી  પણ  આપણા  સમાજમાં  ક્યાં છોરી  ને  ક્યાં નયા  મળે  છે  અપડે  અન્ય  કૈં  કારવુજ  પડશે  હો  તમારા  નંબર  દિયો  ને   મને  પીઝ  દીદી  મારે  તમને  પર્સોનલ  માં  વાત  કેવી  છે",Non-Hate,Neutral,
તને તો મારો લન્ડ પણ સપોર્ટ નો કરે ,Hate,Sexist,
વાહ ભાઈ તમને સાભળવા ની બવું મજા આવે સે. બસ આવા ને આવા પોગ્રામો કરતા રહો🙏🙏🇮🇳💪,Hate,Sexist,
અમદાવાદ સહિત ગુજરાતમાં વિવિધ સ્થળે રથયાત્રાના આયોજન માટે રાજ્ય સરકારે પરવાનગી તો આપી છે,Non-Hate,Neutral,
તારી સ્ટોરી મુકવી સે અને તને ગાળું દેવી સે ,Hate,Abusive,
ગુજરાતી રાખી શવન્ત અને દીપક કલાલ 😂😂,Hate,Abusive,
સારું થયું ટિક્ટોક બંધ થઇ ગયું 😂😂. આ લુખવાતું તોહ બંધ થઇ . “ચૈન ની નીંદ નાઈ સોવ ” 😂😂. એક થી એક નમૂના છે 😂😂,Non-Hate,Neutral,
આને ગુજરાતની પથારી ફેરવી છે આવા હરામીના પેટનાઓએ ઇન્સ્ટાગ્રામએ કીર્તિ પટેલને બગાડી છે🤣🤣🤣😅😅🤣🤣,Hate,Abusive,
"ભાઈ કઈ કર્યું હોય તો એનો પણ વિડિઓ મોકલજો... તો લોકો ને ખબર પડે કે આમને ખોટા વટાવ્યા નાઈ.... કાટો કઈ ના કર્યું હોય તો એ પણ જણાવજો તો લોકો ને ખબર પડે કે આમને ગમેતેમ વાટવો તો કઈ થાય નાઈ .... 

સવાર પડ્યા પછી નો વિડિઓ મુકવો.... વિનંતી થી ",Non-Hate,Neutral,
"કિર્તિ પટેલ મોટી રાંડી હે એના નાગા ફોટા પણ વાયરલ થયા હે 
ઇ ફોટા માં કીર્તિ કોક છોકરા ને પપ્પી ભરે હે મેટો ફોટા જોયા  તમે ? 😁",Hate,Sexist,
હાલતી ની થા રાડ ની હાલતી ની થા,Hate,Sexist,
હા ભાઈ આપડે બેનો દિકર્યું ની ઇજત કરવા ની છે વાત સાચી છે પણ કેમ કીર્તિ ને બધે આવું થાય છે બીજા ને નઈ 🤔🤔🤔🤔🤔🤔🤔🤔,Non-Hate,Neutral,
દાવૂદ નો દીકરો ને મૂક પેલા જેને તને મોટી મોટી ગારો આપી તેનું તે સુ ઉખાડી લીધું 😂😂😂😂😂😂,Hate,Abusive,
જા જા લોડી  ,Hate,Abusive,
હવે હાલતી ની થાણે શેળાલઈઈઈ   ,Hate,Abusive,
પોલીસ ની પાસે કોઈ સારું કામ નથી રહ્યું કે હવે આવા ટિક્ટોકયા ના ઝમેલા માં પડશે 🤔 🤔,Non-Hate,Neutral,
રાજપૂતોને તો કોઈના બાપની તેવડ નથી કે હાથ અડાડી જોવે ભોંસડીની,Hate,Promoting violence,
"વાંક ક્યાં કીર્તિ પટેલ નો હોય છે,છોકરો j ગાઇરું બોલતો તો...e તો ક્યાં બોલતી તી...આ બધાય નવરી ના છે...આવી લપ માં નો પડાય",Non-Hate,Neutral,
ઈઝત વળી છોકરી કયારે આવી રીતે બોલે નાઈ અને રખડે નાઈ સારા ઘર ની છોકરી કાયૅ રખડતા નાઈ દેખી હોય ઈઝત વળી છોકરી ૨ વાગે સુધી ઑન્લીને ના હોય ઈઝત રાખવા માં તે આપે પણ કોઈકને ઈઝત આપવી જોઈએ ,Non-Hate,Positive,
જાણી જોય ને જાતે સ્ક્રિપ્ટેડ બબાલ કરી લોકો ને ઉલ્લુ બનાવો ..વાહ કેવી દુનિયા વ્યૂ માટે આજ કલ સ્ટોરી જોરદાર લખાય છે ટે બી ગાળા ગાડી 😂😂😂😂😂,Non-Hate,Neutral,
કીર્તિ  પટેલ તું હરામી છે ,Hate,Accusations,
ખટિનો થા મા,Hate,Abusive,
માર ખાવો છે તારે,Hate,Abusive,
છોટાળી વરા સમજા છો,Non-Hate,Neutral,
રામદ્વા નુ બંધ કર,Non-Hate,Neutral,
ઉપડી મૂકે તને,Non-Hate,Neutral,
બજવુ હોય તો અવિ જા જે,Non-Hate,Neutral,
બાયડી જેવો છે સાવ,Hate,Sexist,
ધન્યવાદ ખુબ સરસ તમારા જેવા CM ની જરૂર છે તમે નહી તો તમારા જેવો કોઈ માણસ ની જરૂર છે,Non-Hate,Positive,
થાએ કરી કરી જી બારોબાર,Hate,Promoting violence,
સારા માણસની જરૂર નથી પહેલા ગૂડાની તાલીમ લેવી પડે સીએમ બની સકાય,Hate,Accusations,
શાંતિ રાખજે નકર માજા નય આવે,Hate,Promoting violence,
હોય એટલું લાય ને આવી જજે,Hate,Promoting violence,
તારુ કામ કર ને,Non-Hate,Neutral,
ટોપા,Non-Hate,Neutral,
 બબુચક,Non-Hate,Neutral,
ટુથલિયો પોલીસમેન,Non-Hate,Neutral,
ડોબબો,Non-Hate,Neutral,
ખાપરો-કોળિયો,Non-Hate,Neutral,
સરકબમનો,Hate,Abusive,
બુધાલાલ,Hate,Abusive,
"ભાઈ,આ સંજય રાવલ ના કુટુંબ ને જ મુખ્યમંત્રી થી માંડી મંત્રીઓ બનાવી દો, ગુજરાત નુ સુકાન જ સોંપી દો,શું જોઈને ગુજરાત ને ગુજરાત ને એમનો આગવો બગીચો માનતા હશે....",Non-Hate,Neutral,
અળવીતરો,Hate,Abusive,
અક્કલમથ્થો,Hate,Abusive,
અક્કલ નો ઔથમીર,Hate,Abusive,
નીચ,Hate,Abusive,
સાહેબ તમે જે દિવસે ગુજરાતના મુખ્યમંત્રી શ્રી માટે ઉભા રહેશો તે દિવસે સૌથી પહેલો મત હું તમને આપીશ જય જય ગરવી ગુજરાત,Non-Hate,Positive,
નમૂનો,Hate,Abusive,
લબાડ,Hate,Abusive,
સાહેબ cm બનવું હોય તો સાહેબ 2022 આવી ગયું છે સાહેબ તયારી સાલું કરી દો સાહેબ અમે તમારી જોડે જ છી 🙏👍,Non-Hate,Neutral,
લુકખહો,Hate,Abusive,
સારું છે એન્ગ્રેજોં આ સતી પ્રથા દૂર કરી નાય તો જીવતાં જીવત કેટલાય બાળકો બાપ ની જોડે માં બી ખોયે બેસટ💯💯,Non-Hate,Neutral,
તારી માં નો ​ભોસરો,Hate,Abusive,
ભોસરીનો,Hate,Abusive,
સંજય ભાઇ ભગવાને શું mind આપ્યું છે તમને,Non-Hate,Neutral,
"એક નમનર નો ફેકુ માણસ છે આ. એક વાર ફેસબુક માં એવું ફેંક્યું કે હું ભારત નો.PM બનીશ. અમે મેં એના પર અમુક સવાલ કર્યા તો ભયમુક્ત જીવને એ કોમેન્ટ ડીલીટ મારી દીધી અને હિંમત કરી ને મને ફેસબુક પર બ્લોક કરી દીધો. આ છે એની હિંમત ની વાતો અને ભયમુક્ત જીવન😎😂. આ માણસ અંદર થી એકદમ ખોખલું અને ડરેલું છે. લોકો ની બૌદ્ધિક ભાવનાઓ સાથે રમત કરી ને લાખોપતિ બની ગયા છે. એના વિચાર મુજબ પત્ની એ ઘરમાં નવા કપડાં પેરી ને કચરા પોતા કરવા જોઈએ, શુ ખરેખર એવું કોઈ કરતું હશે ?? લોજીકલી વિચારીએ તો એવું ન હોય. આ લિંક ચેક કરી લેજો👍 ",Non-Hate,Neutral,
બેસ્ટ હિરો ઓફ ગુજરાત,Non-Hate,Positive,
સર તમે cm બનજો અને બધા ભ્રષ્ટાચાર કામ બંધ કરાવજો👍,Non-Hate,,
ભરવો,Hate,Abusive,
ભડવો,Hate,Abusive,
સંજયભાઈ તમારું પ્રવચન જોરદાર છે તમારા દરેક વીડિયો માંથી જીવન જીવવાની સાચી જડીબુટ્ટી મળે છે. આજના જમાનામાં દરેક માટે તમારો વડિયો માર્ગ દર્શક રૂપ છે. તમે સ્પષ્ટ વક્તા છો . તમારી વાણી દરેક ના દિલને સ્પર્શી જાય તેવી છે. ખરેખર તમારે તો દેશ ના c.m બનવુ જોઇએ. ભાઈ તમારા દરેક વીડિયો લાઈક કરી આમલમાં મૂકવા જેવા છે.,Non-Hate,Positive,
આમ આદમી પાર્ટી તરફ થી આવજો સાહેબ એટલે આપ આવીજ જસો કેમ આપ પણ એક શિક્ષિત સોચ,Non-Hate,Positive,
કુત્તરો,Hate,Abusive,
ગાંડો,Hate,Abusive,
ચૂત મરીનો,Hate,Abusive,
રંડી નો,Hate,Sexist,
તમારી  વાત સાભણી મારી જિંદગી સુધરી જશે 100 %,Non-Hate,Positive,
શિક્ષણ પદ્ધતિ પર ના તમારા વિચાર સાચા છે ... એકદમ બદલાય નઈ ... પણ ચર્ચા થવી જોઈએ ... જેટલી ચર્ચા વધારે થશે એટલા સારા બદલાવ લાવી શકાશે,Non-Hate,Positive,
વાઘરીનો,Hate,Abusive,
વાઘરી ના પેટનો,Hate,Abusive,
કૂતરીના પેટનો,Hate,Abusive,
સર જે દિવસે તમે મુખ્યમંત્રી બન્યા તે દીવસ થી કોઈ પણ મુખ્યમંત્રી ના બદલાય એવી મારી દુઆ સાહેબ સલામ છે સાહેબ તમને,Non-Hate,Positive,
ભાઈ તું તારા અને તારી બેન વખાણ કરવાનું છોડી દે એટલે તું ગુજરાત નો cm જ છો CM બનીશ પણ પણ નેક્સટ જન્મ માં ,Non-Hate,Neutral,
સંજય સર  . હુ ખાનગી સ્પોર્ટસ શિક્ષક છુ બાળકો ને એક જ વસ્તુ શિખવાડુ છુ કે સ્કુલ ના કંપાઉન્ડ ની બહાર ઘણી ચેલેજ છે જે સ્વીકારવી પડશે  . કોઈ પણ બાળક માતા પિતા ની આંગળી પકડી ને જીવન જીવી શકતું નથી તેણે પોતાના પગ પર ઊભા થવું જ પડે  . આજકાલ વાલીઓ બાળકો ને યોગ્ય શિક્ષણ આપતા જ નથી   .,Non-Hate,Neutral,
સાહેબ અત્યારે મોબાઈલ મા જ ભણવાનું  આવેશ..સાહેબ તે ઓનલાઈન ભણવાનું ચાલે નહી..સાહેબ,Non-Hate,Neutral,
હરામીના પેટનો,Hate,Abusive,
ધન્યવાદ અમને નિંદર માથી ઉઠાડવા માટે,Non-Hate,Positive,
સંજયભાઈ એક મુદ્દાની વાત કરું ? તેમ જેવી વાતો કરો છો એવું કઇ નાઈ કરી શકો તમે મોટા ફાકા મારવા શિવાય કાઈ નથી કરતા નેતા જેમ પબ્લીકને બેવકૂફ બનાવી ને પોતાનું ખિચ્ચું ભારે તેમ તમે જનતાને ખોટા ગપ્પા મારી તમારી પબ્લિસિટી કરો છો... સીએમ નથી બના તે પહેલા જ ખોટા ગપ્પા મારવાનું ચાલુ કરી દીધું.<br>ને સંજયભાઈ મોટીવેશન ની તમારે જરૂર પડે તો મારા દાદા પાશેથી લઈ જજો....🤪  બાકી જેને સારા કર્મ  કરવા જ છે તેને આવા ગપ્પા ની કાઈ જરૂર જ નથી પડતી....,Hate,Accusations,
કાખ માંથી આસુ આવી જાય એવી વાત છે સમજો માનવ જાતિ હોયતો સાહેબ,Non-Hate,Positive,
ફેકવામાં ક્યાં જાય છે કોઈ નું pm બનો એમ પણ ફેંકો,Hate,Accusations,
તમે ગુજરાતના સીએમ બનો  તો ગુજરાતનું ગૌરવ વધ સે,Non-Hate,Neutral,
લબાડ જેવો છે સાવ,Hate,Abusive,
લુક્ખો લાઘીર,Hate,Abusive,
બોલ્યા એ પાળજો સાહેબ!!!....દેશના સજ્જનો સાથે જ હશે 🙏😊👏👏👏,Non-Hate,Neutral,
હરામીનો છે સાવ તું વાઘરી તેમાં,Hate,Abusive,
કૂતરીના ​પેટની છે,Hate,Abusive,
"ભાઇ, પરીક્ષા તો ફરી પણ આવશે જીંદગી ફરી નથી મળતી, બીજું કે કોઈ વિધાર્થી નું પરિણામ નબળું આવે તો માતા-પિતા એ પણ બાળકો ને હીંમત આપી ને આગળ વધવા ની પ્રેરણા આપવી જોઈએ.",Non-Hate,Neutral,
અલ્યા ભાઈ આનું મગજ છટકી ગયું છે આને કોઈ સંભાળો,Hate,Accusations,
નીચ વાઘરી ,Hate,Abusive,
ચોડી ની તેમાં,Hate,Abusive,
"150 કરોડ નો દેશ છે એક ગોલ્ડ મેડલ નથી આવતો , જે દેશ માં ગોલ્ડ મેડલ આવે છે ને 100 ને 110 મેડલ એ દેશ ના એથલીટ ને દર મહિને સરકાર રૂપિયા આપે છે , એટલે એ લોકો ફૂલ સમય આપી શકે છે. આપણા દેશ માં ગરીબી જ એટલી છે  અડધી જિંડગી તો લોકો ની ઘર ચલાવા મા જ જાય છે અહીં કોઈને  પર્સનલ વિચારવા નો અધીકાર નથી , અને ઘર ચલાવા મોદી સાહેબ ના પપ્પા નથી આવતા .",Non-Hate,Neutral,
Cm બનવુ કાઇ નાની મા નુ ધર છે.?  😠😠,Non-Hate,Neutral,
"ઘરે કચરો વળતા આવડતો નથી અને CM બનવું છે, કૈક તો હદ હોય ને ગપ્પા મારવાંની😂😂",Hate,Accusations,
લસણ બંધ રેને ,Hate,Abusive,
રાંડવો છે સાવ એ તો ,Hate,Abusive,
ગધેડીના ,Hate,Abusive,
વાતો ખાલી સારી કરે છે કેટલાય કોન્ટ્રાક્ટર ના રૂપિયા Sanjay Raval nam na આ બિલ્ડરે આપ્યા નથી અને ધમકી આપે છે,Hate,Promoting violence,
ખુબ સરસ જીવન જીવવા માટે જીવનમંત્ર મને ક્યારે પણ ટેન્શન માં હોય ત્યારે બસ તમારા વિડિઓ જોઈ લવ છું ટેન્શન ગાયબ પછી  ખુશ ખુશાલ,Non-Hate,Positive,
"પૂરેપૂરો સહકાર છે શાળા બનવા માટે. મને તમારી શાળા વળી વાત જ ગમે છે. શિક્ષણ નો વેપાર ફક્ત ભારતમાં જ થાય છે. શિક્ષણ મફત હોવું જોઈએ. અને શિક્ષક બાલમંદિર માં જ સારો હોવો જોઈએ. અને હા કૉર્સ ના વિકલ્પો ઉપલબ્ધ હોવા જોઈએ. જ્યારે વિદેશોમાં રાંધવાનું, વાળ કાપવાનું, શિક્ષણ લેતા જોઈએ ત્યારે થાય ડોક્ટર, એન્જિનિયર કરતા પણ વિશેષ કંઇક છે.",Non-Hate,Neutral,
ઉપર ચોરો ની સરકાર બેઠી છે એની પાસે થી સીટ લેવી અઘરું કામ છે... પણ થઈ શકે એવું છે અઘરું છે અશક્ય નથી..,Hate,Accusations,
મુખ્ય મંત્રી તો બધા ને થવું છે પણ ઘેરથી મત નથી મળે એમ,Hate,Accusations,
બિનસચિવાલય વખતે તમે આંદોલનકારીઓ પાસે સરકાર તરફથી મોકલ્યા હતા. અને આવડું મોટું બિનસચિવાલય આંદોલન અને તમે કહ્યું કે મને કાઈ ખબર નથી. પોલીસ ના માર વિધાર્થીઓએ ખાધો. અને તમે કહ્યું પોલીસને કાંઈ કહેશો નહીં. પછી વિધાર્થીઓ એ તમને કહ્યું અહીં જવા દો. છેલ્લે યુવરાજ સિંહ સીટ માં બેઠા. ત્યારે તેમણે રિઝલ્ટ લાવી દીધું. કે પેપર લીક થયા છે.એવી કાબેલિયત પ્રજા સમક્ષ પ્રુફ કરવી પડે. ત્યારે લોક હિત માટે કામ કરો છો એવું સાબિત થાય. સારા અવાજ થી અને ગોઠવેલા શબ્દોથી ભણાવવા વાળા પ્રોફેસરો ઘણાં છે. એને ગુજરાતી ભાષામાં વાત ડાયો માણસ કહે છે.....,Non-Hate,Neutral,
ગધેડીના પેટનો હું થયો છે વાઘરી ,Hate,Abusive,
સરમ કર ભોસમારીના,Hate,Abusive,
"અક્કલમઠ્ઠો છે સાવ",Hate,Abusive,
વેતીનો થાને હવે હાલી હુ નિકરો,Hate,Abusive,
ભાનબારીનો તેમાં,Hate,Abusive,
સહુથી મોટો ફેંકુ.,Hate,Accusations,
વાંદરીની,Hate,Abusive,
વાંદરીનો,Hate,Abusive,
ચાંપલી,Hate,Abusive,
ધોળા દિવસે સપના જોવા નું બંધ કરો 😂,Non-Hate,Neutral,
જુડવા પુરુષ ના ફિંગર એક હોય છે,Non-Hate,Neutral,
રાવલ સર આજે પણ આપણા 3જવાન ૧મૈજર સહીદ થયા છે તો શુ આતકવાદી જે ધર મા છુપાએલા છે તો શુ આપણે તે ધરને જ ઉડાવી દ ઇએ તો ભલે એક અલગાવવાદી મારયો જાય?,Hate,Promoting violence,
ચંપલો છે આ તો એક નંબરનો ,Hate,Abusive,
તારી મને ભળી થાય,Hate,Abusive,
નાકકમીનો છે ,Hate,Abusive,
તુ ભાઈ સંજયભાઈ જે કરે છે એના કરતા અડધુ કામ કરી બતાય ભોસડીના ,Hate,Abusive,
જેવા તેવા ને નાં બનાવાય .,Non-Hate,Neutral,
આ ચોદું પોતાનાજ વખાણ કરે એ બધા વિડિઓ માં પોતાની જ પ્રોપર્ટી ના વખાણ કરે ને વાતો કર એ માદરછોડ પિંકીનો સાલો ,Hate,Abusive,
"ભાઈએ બહેનો ને એવું કહેવું જોઈએ કે... પાચ લાખ રૂપિયા નહીં હું વીસ લાખ આપું... પણ તમારે શું કરવું છે?",Non-Hate,Neutral,
તારી માને પેંડા ભાવે ,Hate,Abusive,
"તારી માસી ની ટીકડી",Hate,Abusive,
કાગડો દૈતરું લાય ગયો,Non-Hate,Neutral,
"ગાંડા ના ગામ ના હોય",Non-Hate,Neutral,
"ડાય સાસરે ના જાય અને ગાંડી ને શિખામણ આપે",Non-Hate,Neutral,
વડ જેવા ટેટા ને બાપ જેવા બેતા,Non-Hate,Neutral,
અકલ નો ઓથમિર,Hate,Abusive,
બુદ્ધિ વગર નો,Hate,Abusive,
આવા ગુજરાત નું નામે બદનામ કરે છે ,Hate,Accusations,
દરબાર હોય એ ગાળો બોલે જ નય,Non-Hate,Neutral,
સમાજ ને સુકામ બદનામ કરો છો,Non-Hate,Neutral,
આ લોકો ને સોશ્યિલ મીડિયા બન્ધ થવો જોઈએ....,Hate,Accusations,
"બેન તમે રડશો નહીં.. ભગવાન જોઈ રહ્યા છે અત્યારમાં દુઃખ છે પણ આગળ જઈને  સુખ આવશે...",Non-Hate,Positive,
"આ બંન્નેએ સમજૂતી કરી વિડિયો બનાવ્યો લાગે. વધારે લાઈક મળે તો વધારે રૂપિયા મળે. આ સિવાય તેનો બીજો હેતુ નથી લાગતો.
બન્નેના બિયારણ બદલી ગયા લાગે.",Non-Hate,Neutral,
"બેન ભલે તમારી પાસે આજ રૂપિયા નથી પણ તમારી ખાનદાની બિલ ગેટ્સ...અંબાણી કરતા પણ ઊંચી છે🙏🙏🙏🙏 સલામ છે તમને👍🙏🙏🙏🙏",Non-Hate,Positive,
"મને લાગે થોડાક દિવસ માં બને ભેગા બેસીને ચા પીસે ને નાટક ચાલુ કરશે જેમ (ચાનો  & મમરો )
મારા હાર પાંચ આખા સમાજ ને ધંધે લગાડે 😠",Non-Hate,Neutral,
"બેય ના આયદિ બ્લોક કરવો ને .   આવા વિડિઓ વધી ગયા છે તો .  ..સરકાર ને મોદી જી ને વિનંતી 
કે  .
નેટ ના ભાવ ૫૦૦ પર ગબ કરી નાખો ને પેટ્રોલ ના ૬૦ કરી નાખો ખાંડ ના ૨૦ કરી નાખો ને કપાસ ના ૯૦૦ ફિક્સ નેટ સસ્તું છે એટલે આવા વિડિઓ વધી ગયા છે. કોલ ૨ રસ પર મિનિટે ને નેટ ૫૦૦ પર ગબ પછી ખબર પડે ",Non-Hate,Neutral,
આખા ગુજરાત ને બગાડ્યું છે તે ,Hate,Accusations,
વાઘરન લાગે છે સાવ એક નંબર ની બોડી ,Hate,Abusive,
તારી માં નો ભોશડો,Hate,Abusive,
ખાલી ખોટી ટાઈમ પાસ  કરવા આવી જાય છે,Non-Hate,Neutral,
નવરીના સરમ  વગર ના બેય ,Hate,Abusive,
ઘર ભૈગીના થાવને બાપ દાદાની આબરૂ રાખો,Hate,Abusive,
સામે વાળો બાકી મર્દ હો કીર્તિ સુ છે એ દેખાડું હો,Hate,Sexist,
તારી માં સોદાવાજા ભોશમારીની તુ પટેલ સો સોદીની,Hate,Abusive,
બાદમાં વિહિપ અને બજરંગદળનાં કાર્યકરો રોડ પર ઊતરી આવ્યા હતા અને તોફાનો શરૂ કરી દીધા હતા.,Hate,Promoting violence,
પટેલ ની માનો પીકો ,Hate,Abusive,
"માતાજી તમે ચિંતા ના કરશો. કારણકે તમારે ઘેર ઘ્વારિકા નગરી નો રાજા સાક્ષાત આવ્યો છે. જય શામરીયા 🙏🙏🙏🙏🙏",Non-Hate,Neutral,
"સરસ પોપટભાઇ આવા લોકો ને મીડિયા સામે જરૂર લાવો.અને તમે આગળ વધો એવી પ્રાર્થના ( jay Dwarkadhish)",Non-Hate,Neutral,
"પોપટ ભાઈ તમે દુનિયાના બેલી (ભગવાન) છો.
તમે જે કાંમ કરો એ માણસ થી ન થાય. 
તમારી માથે દ્વારકાધીશનો હાથ છે.",Non-Hate,Neutral,
આ કીર્તિ પાછળ બધા બદનામ થાય છે તું લીવે નો આવ વિડિઓ કૉલ મોં કૈં દે પોલીસે તમારા જેવા ઓ પાછળ બદનામ થાય છે ,Hate,Accusations,
